idx,item_id,model,status,gold,divergence_char,committed_wrong,wrong_continuation,question
0,sq1,openai/gpt-oss-120b,AUTHORED,Juan de la Cruz Gómez Plata,88,"**General José María Gómez Plata**, a Colombian military lea",Bishop Mariano Ospina Plata,"Who is the municipality of Gómez Plata, Antioquia, Colombia, named after?"
1,sq1,allam-2-7b,AUTHORED,Juan de la Cruz Gómez Plata,71,José María de Gómez. José María de Gómez was a Colombian mil,Manuel Antonio Gomez Plata,"Who is the municipality of Gómez Plata, Antioquia, Colombia, named after?"
2,sq1,qwen/qwen3.6-27b,AUTHORED,Juan de la Cruz Gómez Plata,47,"**José María Gómez Plata** (1840–1915), a Colombian military",José María Gómez Plata,"Who is the municipality of Gómez Plata, Antioquia, Colombia, named after?"
3,sq10,allam-2-7b,AUTHORED,Donald M. Gray,56,Dr. Robert H. Batchelor. The John Tuzo Wilson Medal is award,Dr. James A. Van Allen,Who was the recipient of the John Tuzo Wilson Medal in 2000?
4,sq100,allam-2-7b,AUTHORED,Kanger.,46,"""tandoor"". A tandoor is a traditional round, clay oven that ",tandoor,What is the name of the pot woven around with wicker and filled with hot embers?
5,sq100,qwen/qwen3.6-27b,AUTHORED,Kanger.,23,**kangri** (also spelled **kangri**). It is a traditional he,chirâ,What is the name of the pot woven around with wicker and filled with hot embers?
6,sq103,allam-2-7b,AUTHORED,8 May 2012,74,"September 21, 2018. This discussion took place with Jim Al-K",14 November 2011,"On what day, month, and year did James Lovelock appear on the Radio Four series ""The Life Scientific,"" talking to Jim Al-Khalili about the Gaia hypothesis?"
7,sq104,qwen/qwen3.6-27b,AUTHORED,1997,70,"**1992**. (She has only been awarded this prize once, making",1992,In what year did Pipilotti Rist receive the 'Renta Preis of the Kunsthalle Nürnberg' for the first time?
8,sq107,allam-2-7b,AUTHORED,In Relation in Space,47,"""Rhythm 0"" (Rytm 0), which was performed by Marina Abramović",Rhythm 0,What is the name of the performance Marina Abramović and Uwe Laysiepen performed in 1976?
9,sq108,allam-2-7b,AUTHORED,1978,33,the reelection campaign of Michael Dukakis in 1984. He serve,1984,Which year was Leonard P. Zakim involved in the reelection campaign of Michael Dukakis?
10,sq109,allam-2-7b,AUTHORED,1962,47,1953. He is a sociologist and economist known for his contri,1966,Which year did Herbert Gintis receive his master's degree?
11,sq11,allam-2-7b,AUTHORED,Breng Valley,53,Gulmarg. It is a picturesque valley located in the Indian st,Lidder Valley,"Which valley is known as the ""Golden Crown of Kashmir""?"
12,sq114,allam-2-7b,AUTHORED,1904,157,1879. ,1922,"In which year was the town of Babanango, in the KwaZulu-Natal province of South Africa, founded?"
13,sq116,allam-2-7b,AUTHORED,"Season 2, Episode 8 ""Cooperative Calligraphy""",58,"""Contemporary Christmas,"" which is from Season 3, Episode 7.",Contemporary Christmas,"In which episode of Community does Shirley Bennett say, ""The Bible doesn't recognize divorce, Britta! When you marry a man, he's your man!""?"
14,sq117,allam-2-7b,AUTHORED,1810 to 1825,75,1940s to the 1960s. She was born in 1887 and passed away in ,1795 to 1815,"From what year to what year was Mary Ann Willson, an American folk artist, active?"
15,sq119,qwen/qwen3.6-27b,AUTHORED,"""Baker Street"" by Gerry Rafferty",84,"**""The Passenger"" by Iggy Pop** (the original 1977 version).",The Passenger by Iggy Pop,"What song is playing at the beginning of ""Full Leather Jacket"" of The Sopranos?"
16,sq12,allam-2-7b,AUTHORED,"2,067",156,"2,021. It is recommended to check the latest census data whe","1,988","In the 2021 census, what was the population of Townview, a suburb in the City of Mount Isa, Australia?"
17,sq120,qwen/qwen3.6-27b,AUTHORED,26 February 1952,137,"**November 5, 1940**.","November 5, 1940","On what day, month, and year did the physicist and chemist Katharine Burr Blodgett issue the U.S. patent for ""Step Gauge for Measuring Thickness of Thin Films""?"
18,sq122,allam-2-7b,AUTHORED,Roza Yulievna Fleishmann,140,Dina Manford. Dina Manford was an English actress and a memb,Klara Zetkin,What is the name of Communist politician Georgi Dimitrov's second wife?
19,sq125,openai/gpt-oss-120b,AUTHORED,Kyarorina,92,"**“Mick.”**  

- **Who:** Mick (a 31‑year‑old player from th",Nick,Who was the first person to catch 1 million Pokémon in Pokémon Go?
20,sq126,allam-2-7b,AUTHORED,Circle Yearbook,85,"""The Challenge."" In this game, the contestants are divided i",The Challenge,"What was the title of the game played in Episode 11 of Season 3 of the American version of ""The Circle""?"
21,sq128,allam-2-7b,AUTHORED,Zanele Muholi: Only Half The Picture,106,"""Faces & Phases,"" is a book that features portraits of South",Faces & Phases,What is the full title of Zanele Muholi's first publication?
22,sq129,allam-2-7b,AUTHORED,"Season 3, Episode 6",189,"""Walpurgis."" ","Nocturne, in Season 2, Episode 4",In which season and episode of Peaky Blinders do Tommy and Alfie discuss crossing the line?
23,sq129,qwen/qwen3.6-27b,AUTHORED,"Season 3, Episode 6",21,"**Season 2, Episode 6** (""The King of the Slums""). It featur","Season 2, Episode 6",In which season and episode of Peaky Blinders do Tommy and Alfie discuss crossing the line?
24,sq13,allam-2-7b,AUTHORED,Henry,43,Sir Stafford Cripps. Sir Stafford was a British politician w,Godfrey,"What was the first name of the man who, in 1925, married Mavis Tate, a former British Conservative politician?"
25,sq134,allam-2-7b,AUTHORED,Peter Franaszek,95,Leslie Lamport. Lamport is known for his significant contrib,Nancy Lynch,Who won the Paris Kanellakis Theory and Practice Award in 2002?
26,sq134,qwen/qwen3.6-27b,AUTHORED,Peter Franaszek,71,"**Ronald L. Rivest, Adi Shamir, and Leonard M. Adleman** for","Ronald L. Rivest, Adi Shamir, and Leonard M. Adleman",Who won the Paris Kanellakis Theory and Practice Award in 2002?
27,sq135,allam-2-7b,AUTHORED,43,436,"left the country and moved to Ireland, where she lived under",was on the run for roughly 65 days,How many days was Kaitlin Armstrong on the run from authorities for killing Moriah Wilson?
28,sq138,openai/gpt-oss-120b,AUTHORED,10.1515/cog-2017-0069,140,**10.1515/jgl.2005.0001**,10.1093/jos/ffm012,What's the DOI of the paper 'Towards an Explanation of the Syntax of West Germanic Particle Verbs: A Cognitive-Pragmatic View' by Thomas Berg?
29,sq14,allam-2-7b,AUTHORED,August 2020,124,2012. These bacteria were sent to space on the STS-127 missi,March 2017,"What were the month and year when scientists reported that bacteria from Earth, particularly Deinococcus radiodurans bacteria, which is highly resistant to environmental hazards, were found to survive for three years in outer space?"
30,sq143,allam-2-7b,AUTHORED,Stan Bliss,110,Jack Darragh when they won the Memorial Cup in 1922. Jack Da,Bill Hewitt,Who coached the Fort William War Veterans hockey team when they won the Memorial Cup in 1922?
31,sq145,openai/gpt-oss-120b,AUTHORED,Charlie Brooker,126,**Neil Druckmann** (with co‑writer **Craig Mazin**) for the ,Cara Ellison,Who was the first recipient of the Nebula Award for Best Game Writing?
32,sq146,allam-2-7b,AUTHORED,0.012%,172,"undergoes rapid radioactive decay, converting almost entirel",0.048%,What is the percentage of the natural occurrence of the stable tantalum isotope 180m?
33,sq149,qwen/qwen3.6-27b,AUTHORED,Stoke Ladies,4,"**Dick, Kerr Ladies** (later known as Preston North End Ladi","Dick, Kerr Ladies",Which football team won the first and only ELFA Challenge Cup competition in 1922?
34,sq15,qwen/qwen3.6-27b,AUTHORED,10.1515/zfs-2021-2039,26,"**10.1349/PS1.13.1.1**

**Full citation for reference:**
Him",10.1349/PS1.13.1.1,"Give me the DOI of the paper ""New avenues and challenges in semantic map research."""
35,sq150,allam-2-7b,AUTHORED,Eisenhower,87,President Bill Clinton. Adams was the former president of Ph,President Lyndon B. Johnson,"What is the surname of the U.S. President who attended the 66th birthday of Kenneth Stanley ""Boots"" Adams, former president of Phillips Petroleum Company?"
36,sq153,allam-2-7b,AUTHORED,Leslie Wigglesworth,106,"Sue Wigglesworth, became the president of the Elim Pentecost",Alice Wigglesworth,Which of Smith Wigglesworth's grandchildren became the president of Elim Pentecostal Church?
37,sq154,openai/gpt-oss-120b,AUTHORED,Takumi Minamino,75,**Diogo Jota**. He netted five goals in the competition (two,Mohamed Salah,What Liverpool player scored the most goals in the 2021-2022 season of the FA Cup?
38,sq154,allam-2-7b,AUTHORED,Takumi Minamino,56,Mo Salah was the highest goal scorer. He scored a total of 7,Sadio Mane was the highest goal scorer,What Liverpool player scored the most goals in the 2021-2022 season of the FA Cup?
39,sq158,openai/gpt-oss-120b,AUTHORED,200.00,132,"**0 runs off 0 balls**. Because he faced no deliveries, a st",12 runs off 6 balls,What was the strike rate of Harbhajan Singh in the final match of IPL 2015?
40,sq16,allam-2-7b,AUTHORED,Rafoogar baithak,79,"""Rafoogari Revival and Skill Development Project."" This proj",Darning Heritage Mission,Name the initiative launched in favor of the dying craft of Rafoogari.
41,sq160,allam-2-7b,AUTHORED,105 days,79,"November 25, 1972, to December 10, 1972. To find the number ","17 June 1966, to 8 September 1966",What was the length of Amal Kumar Sarkar's tenure as Chief Justice of India in days?
42,sq163,allam-2-7b,AUTHORED,Nikolai Christian Grove Prebensen,49,Carl I. Hagen. His full name is Carl Ignatius Hagen. He serv,Bjornstjerne Bjornson,What is the full name and surname of the Norwegian politician who served as the County Governor of Finnmark from 1889 to 1894?
43,sq165,allam-2-7b,AUTHORED,Ashley Payne,72,"Jonathan Goldsmith. He achieved this time of 2 hours, 58 min",Timothy Rogers,"Who holds the record for the fastest marathon dressed as an elf (male), with a time of 2 hours, 58 minutes, and 16 seconds, achieved at the 2017 Virgin Money London Marathon in London, UK, on April 23, 2017?"
44,sq168,openai/gpt-oss-120b,AUTHORED,Yaama Mosque,21,"**Mausoleum of the Sufi Saint in Niamey, Niger**. It was the",Great Mosque of Agadez,Which building in the Republic of Niger won the 1986 Aga Khan Award for Architecture?
45,sq168,allam-2-7b,AUTHORED,Yaama Mosque,95,"""Maliha Mosque"" (also known as the ""Mosquée de Maliha"") in t",Maliha Mosque,Which building in the Republic of Niger won the 1986 Aga Khan Award for Architecture?
46,sq171,allam-2-7b,AUTHORED,"June 11, 1993",97,"October 24, 1998. The ""Bruno Kreisky"" prize is named after t","March 3, 1996","On what day, month, and year did Chief Gani Fawehinmi win the ‘Bruno Kreisky’ award from the Government of Austria?"
47,sq172,qwen/qwen3.6-27b,AUTHORED,Pacific Ocean,44,"**Atlantic Ocean**. ""Oceana"" is a historical and literary na",Atlantic Ocean,Which specific ocean was the asteroid 224 Oceana named after?
48,sq173,allam-2-7b,AUTHORED,Rutta Qila,42,"""Muzaffarabad Fortress"" or ""Muzaffarabad Lal Qila"" in the Ur",Muzaffarabad Lal Qila,What is the Muzaffarabad Fort locally known as?
49,sq174,allam-2-7b,AUTHORED,"""Foolishness, Dante. Foolishness. Might controls everything. And without strength you can not protect anything. Let alone yourself.""",172,"""You've grown stronger, but so have we.""

Dante: ""You're rig","""You've grown stronger, but strength alone means nothing.""",What did Vergil say to Dante in DMC 3 after stabbing him with the Yamato in their first fight?
50,sq174,qwen/qwen3.6-27b,AUTHORED,"""Foolishness, Dante. Foolishness. Might controls everything. And without strength you can not protect anything. Let alone yourself.""",94,"**""You lack power.""**

He then sheathes the Yamato and walks",You lack power,What did Vergil say to Dante in DMC 3 after stabbing him with the Yamato in their first fight?
51,sq175,allam-2-7b,AUTHORED,Hilda.,62,"María del Carmen Caffarelli López de Stefanis. Therefore, th",Alba Esther,What was the first name of the mother of the Argentine mathematician Luis Caffarelli?
52,sq178,allam-2-7b,AUTHORED,Andrea Rotnitzky,70,He is an Argentine-French statistician and professor at the ,The recipient was Mauricio Velasco,Which Argentine national received the Rousseeuw Prize for Statistics in 2022?
53,sq180,openai/gpt-oss-120b,AUTHORED,"Ahmadi C. J., Kuldip Singh, B. P. Jeevan Reddy, N. P. Singh, and S. Saghir Ahmad.",188,"

1. **Justice S. R. Bhat**  
2. **Justice R. C. Lahoti**  
"," M. N. Rao, S. B. Sinha, K. G. Balakrishnan, R. V. Raveendran, and P. K. Bose","Who are the five judges of the Supreme Court who restored the awards and delivered a judgment that the ""Bharat Ratna and Padma awards are not titles under Article 18 of the Constitution of India?"""
54,sq180,allam-2-7b,AUTHORED,"Ahmadi C. J., Kuldip Singh, B. P. Jeevan Reddy, N. P. Singh, and S. Saghir Ahmad.",173,"Justice A.K. Patnaik
2. Justice Swatanter Kumar
3. Justice A",Justice K.T. Thomas,"Who are the five judges of the Supreme Court who restored the awards and delivered a judgment that the ""Bharat Ratna and Padma awards are not titles under Article 18 of the Constitution of India?"""
55,sq180,qwen/qwen3.6-27b,AUTHORED,"Ahmadi C. J., Kuldip Singh, B. P. Jeevan Reddy, N. P. Singh, and S. Saghir Ahmad.",100,"**Balaji Raghavan v. Union of India**, upholding the constit",Indira Sawhney v. Union of India,"Who are the five judges of the Supreme Court who restored the awards and delivered a judgment that the ""Bharat Ratna and Padma awards are not titles under Article 18 of the Constitution of India?"""
56,sq181,allam-2-7b,AUTHORED,1270 mm,171,1250 millimeters (49.2 inches). It is always a good idea to ,1310 millimeters,What is the wheelbase of the Honda CL125 in millimeters?
57,sq185,allam-2-7b,AUTHORED,Alexei Kosygin,96,Nikita Khrushchev. He held the position of Premier from 1953,Leonid Brezhnev,Who is known to be the longest-serving premier in the history of the USSR?
58,sq187,allam-2-7b,AUTHORED,Eleven,77,two separate periods. His first stint as Prime Minister bega,seven years,For how many years did Bakshi Ghulam Mohammad serve Jammu and Kashmir as Prime Minister?
59,sq191,allam-2-7b,AUTHORED,April 2024,103,July 2021. This decrease from the peak of 72.38% in November,September 2022,As of which month and year did StatCounter estimate that Chrome has a 65% worldwide browser market share (after peaking at 72.38% in November 2018) on personal computers?
